Customer,Unit #,VIN,Year,Make / Model
AKI Logistics,00000000,00000000,,[AKI Logistics's Unit]
ANY COMPANY,0001,1GRAP0622DT573873,2013,Great Dane Trailers Great Dane Trailers
RNN TRANSPORT LLC,001,13N2532C3G1511673,1986,Fontaine Trailer Co Fontaine Trailer Co.
MI TRANSPORTATION LLC,001,1FUJA6CK96LU54832,2006,Freightliner Columbia
ZIGE TRANSPORTATION LOGISTICS,001,1FUJGLDRXJLJK3436,2018,Freightliner Cascadia
ZSS TRUCKING,001,1FUJHHDR6KLKP4723,2019,"Freightliner New Cascadia 126 Sleepercab"""
DGL Trucking and Logistics ltd,001,1NPWL49X99D741187,2009,Peterbilt 388
UNITED BROTHERS,001,1XKYDP9X0LJ397115,2020,Kenworth T680
GOLDMAN,001,1XKYDP9X0LJ397115,2020,Kenworth T680
SILK ROAD AMERICA INC,001,1XKYDP9X3KJ237230,2019,Kenworth T680
NINE TRANSPORTATION GROUP INC,001,1XPBDP9X3ND763151,2022,Peterbilt 579
SKLASHEE LLC,001,3AKJGLBG6FSGT8563,2015,Freightliner Cascadia
HUMO Transportation Services,001,3AKJGLD59GSGJ2603,2016,Freightliner Cascadia
META TRANSPORT,001,3AKJGLDV3GSHD4840,2016,Freightliner Cascadia
BIG DUCK TRUCKING,001,3AKJHHDR1LSLH2723,2020,Freightliner Cascadia
NVR TRANSPORTATION LLC,001,3AKJHHDR1MSMS2307,2021,Freightliner Cascadia
USA SILK WAY,001,3AKJHHDR2KSKH2399,2019,Freightliner Cascadia
3RD EYE TRUCKING,001,3AKJHHDR3KSHU6660,2019,Freightliner Cascadia
Pjr logistics inc,001,3AKJHHDR4JSJX0492,2018,Freightliner Cascadia
BULUNGUR EXPRESS,001,3AKJHHDR4MSMN6492,2021,Freightliner Cascadia
ZMAX WORLDWIDE INC,001,3AKJHHDR6KSKH7279,2019,Freightliner Cascadia
PHOENIX FREIGHT LLC,001,3AKJHHDR6MSMA7872,2021,Freightliner Cascadia
SILK ROAD AMERICA INC,001,3AKJHHDR9LSLLJ4475,2020,Freightliner Cascadia
BIG DUCK TRUCKING,001,3AKJHHDRXJSJR1251,2018,Freightliner Cascadia
GRPA LOGISTICS LLC,001,3AKJHPDV6KSKL2886,2019,Freightliner Cascadia
ELEGANCE TRANSPORT LLC,001,3C6UR5DL8PG611500,2023,RAM 2500
GRPA LOGISTICS LLC,001,3HSDZAPR9NN314849,2022,International LT625
THY LOGISTICS,001,3HSDZAPR9NN314849,2022,International LT625
V&T EXPRESS,001,4V4NC9EH0HN984768,2017,Volvo VNL
ON TIME,001,4V4NC9EH0HN984768,2017,Volvo VNL
NEON FREIGHT INC,001,4V4NC9EH4KN214077,2019,Volvo VNL
BORDERLANDERS INC,001,4V4NC9EH4MN284651,2021,Volvo VNL
US TRANSPORTATION,001,4V4NC9EH7FN185616,2015,Volvo VNL
BORDERLANDERS INC,001,4V4NC9EH7HN985271,2017,Volvo VNL
STW LTO,001,4V4NC9EH7LN244563,2020,Volvo VNL
ECO EXPRESS,001,4V4NC9EH8LN221213,2020,Volvo VNL
ON TIME,001,4V4NC9EH9LN267164,2020,Volvo VNL
DADAKHON TRANS CORP,001,4V4NC9EH9LN267164,2020,Volvo VNL
SUCCESSOR INC,001,4V4NC9EH9LN267164,2020,Volvo VNL
GG CARGO,001,4V4NC9EH9NN296196,2022,Volvo VNL
ADRENALINE TRANS LLC,001,4V4NC9EHXGN953722,2016,Volvo VNL
ONTOP TRUCKING LLC,001,4V4NC9EJ0KN205041,2019,Volvo VNL
4 WAY TRANSPORT LLC,001,4V4NC9EJ7CN557776,2012,Volvo VNL
MIR TRANSPORTATION INC,001,4V4NC9EJ8LN236281,2020,Volvo VNL
ORIPOV 7764 LLC,0012,1FUJHHDR1KLKF1586,2019,Freightliner Cascadia
ILMFREIGHT INC,0013,1FUJHHDR6KLKG9517,2019,Freightliner Cascadia
EAGLE EYE,0013,4V4NC9EH4KN208618,2019,Volvo VNL
MI TRANSPORTATION LLC,0017,4V4NC9EH1DN149000,2013,Volvo VNL
UG TRANSPORTATION,0018,4V4NC9EH6LN250712,2020,Volvo VNL
ORIPOV 7764 LLC,0019,3AKJHHDV1LSLF9516,2020,Freightliner Cascadia
ELEGANCE TRANSPORT LLC,002,16V3F4824S6369490,2025,Big Tex Big Tex
ROADFLIX,002,3AKJGLD526SGJ2622,2006,Freightliner Cascadia
HUMO Transportation Services,002,3AKJGLD52GSGJ2622,2016,Freightliner Cascadia
PIR EXPRESS INC,002,3AKJGLDR4HSHX5406,2017,Freightliner Cascadia
FLYSTAR LLC,002,3AKJGLDR4HSHX5406,2017,Freightliner Cascadia
PRIME CARGO,002,3AKJGLDR7JSHU4835,2018,Freightliner Cascadia
BULUNGUR EXPRESS,002,3AKJHHDR0JSJK1807,2018,Freightliner Cascadia
MAX POWER TRANSPORT INC,002,3AKJHHDR0JSJV9005,2018,Freightliner Cascadia
GRPA LOGISTICS LLC,002,3AKJHHDR0LSLL1309,2020,Freightliner Cascadia
THE BINION GROUP,002,3AKJHHDR1LSLK2795,2020,Freightliner Cascadia
THY LOGISTICS,002,3AKJHHDR1RSUV0737,2024,Freightliner Cascadia
BORDERLANDERS INC,002,3AKJHHDR2PSNJ5494,2023,Freightliner Cascadia
RAMZES TRANSPORT,002,3AKJHHDR5LSLH7407,2020,Freightliner Cascadia
MAYENGO LLC,002,3AKJHHDR6LSKC0470,2020,Freightliner Cascadia
RIGE TRANSPORT AND LOGISTICS,002,3AKJHHDR7LSLL1243,2020,Freightliner Cascadia
AMERICAN TURBO,002,3AKJHHDR7NSMX1800,2022,Freightliner Cascadia
CARGOVERSE LLC,002,3AKJHHDR9LSLP9486,2020,Freightliner Cascadia
UNITED CARGO TRANSPORTATION,002,3AKJHHDRXJSJR5431,2018,Freightliner Cascadia
BORDERLANDERS INC,002,4V4NC9EH1LN244588,2020,Volvo VNL
GG CARGO,002,4V4NC9EH7NN296195,2022,Volvo VNL
META TRANSPORT,003,1M1AN4GY0LM011618,2020,Mack Anthem
MILES MASTER,003,3AKJHHDR0KSGC6052,2019,Freightliner Cascadia
HLEON TRUCKING,003,3AKJHHDR2MSMR6456,2021,Freightliner Cascadia
CARGOVERSE LLC,003,3AKJHHDR5LSLP3619,2020,Freightliner Cascadia
OQUED EXPRESS INC,003,3AKJHHDR8JSKA9354,2018,Freightliner Cascadia
DADAKHON TRANS CORP,003,4V4NC9EH0LN229287,2020,Volvo VNL
GRPA LOGISTICS LLC,003,4V4NC9EH4RN642886,2024,Volvo VNL
VATAN LOGISTICS LLC,004,1XKYDP9X3LJ403800,2020,Kenworth T680
SBS,004,3AKJGLDR2GSGR6573,2016,Freightliner Cascadia
Daiyrbek Ismanaliev,004,3AKJGLDV9ESFH0359,2014,Freightliner Cascadia
MILES MASTER,004,3AKJHHDR8KSGC6025,2019,Freightliner Cascadia
STW LTO,004,3AKJHHDV1LSLR8224,2020,Freightliner Cascadia
DADAKHON TRANS CORP,004,3AKJHPDV4KSKM2980,2019,Freightliner Cascadia
XPERT CARGO,004,4V4NC9EG5PN288624,2023,Volvo VNL
ROCKET SPEED,004,4V4NC9EG8FN914844,2015,Volvo VNL
META TRANSPORT,004,4V4NC9EH0LN247630,2020,Volvo VNL
GG CARGO,004,4V4NC9EH4KN201071,2019,Volvo VNL
USA SILK WAY,004,4V4NC9EH6NN297662,2022,Volvo VNL
KUB & I INC,004,4V4NC9EJ3CN540831,2012,Volvo VNL
PHOENIX FREIGHT LLC,004,4V4NC9TH2GN954432,2016,Volvo VNL
ALI EMPIRE INC,0046,3AKJHHDRXNSMW0046,2022,Freightliner Cascadia
MEK EXPRESS LLC,005,1GR1P0620PJ506317,2023,Great Dane Trailers Great Dane Trailers
RAY CARGO CORP,005,3AKJHHDR4KSKU4723,2019,Freightliner Cascadia
MTN TRANSPORT LLC,005,3AKJHHDRXKSKJ0415,2019,Freightliner Cascadia
SUNNY BREEZE EXPRESS,005,3AKJHHDRXMSMT4321,2021,Freightliner Cascadia
HERMES CARGO LLC,005,4V4NC9EH1FN189287,2015,Volvo VNL
HERMES CARGO LLC,005,4V4NC9EH1FN189287,2015,Volvo VNL
NEON FREIGHT INC,005,4V4NC9EH6KN208071,2019,Volvo VNL
OZ LOGISTICS LLC,005,4V4NC9EH7KN197162,2019,Volvo VNL
VARREN ELDOR EXPRESS,005,4V4NC9EH7NN287190,2022,Volvo VNL
CARGOVERSE LLC,005,4V4NC9EH7NN287190,2022,Volvo VNL
IMS LINE,006,1FUJGLDV6FLGM6430,2015,Freightliner Cascadia
BEDFORD EXPRESS LLC,006,3AKJHHDR0LSLP8713,2020,Freightliner Cascadia
YTRUCKING,006,3AKJHHDR4KSHU6134,2019,Freightliner Cascadia
GG CARGO,006,4V4NC9EH4KN219814,2019,Volvo VNL
KAIS LOGISTICS INC.,006,4V4NC9EHXGN956670,2016,Volvo VNL
US DAR,006,4V4NC9EHXGN956670,2016,Volvo VNL
C L SCOTT,006,4V4NC9EHXGN956670,2016,Volvo VNL
DASTON,006,4V4NC9EJ2LN233960,2020,Volvo VNL
VOLO GROU,0060,1RNF53A26RR067222,2024,Reitnouer Inc Trailers Reitnouer Inc Trailers
Makhmud corporation,007,1FUJHHDR5LLLK2133,2020,Freightliner Cascadia
CARGO TRUCKING LLC,007,1FUJHHDR7KLKH1101,2019,Freightliner Cascadia
ALIF EXPRESS INC,007,1FUJHHDV4NLNH9926,2022,Freightliner Cascadia
West Coast Lin,007,1XKWD49X5NR476547,2022,Kenworth W9 Series
ADAGIUM INC,007,1XKWD49X5NR476547,2022,Kenworth W9 Series
BEDFORD EXPRESS LLC,007,3AKJHHDR4LSLP9170,2020,Freightliner Cascadia
TEMUR TRANSPORTATION,007,3AKJHHDR6LSLM9863,2020,Freightliner Cascadia
STAR LINE TRANSPORT,007,3AKJHHDR6LSLM9863,2020,Freightliner Cascadia
GTG TRANSPORTATION,007,3AKJHHDR6LSLM9863,2020,Freightliner Cascadia
Avaz Trucking Corp,007,3AKJHHDRXNSNG7075,2022,Freightliner Cascadia
IQS,007,4V4NC9EH0KN203271,2019,Volvo VNL
DADAKHON TRANS CORP,007,4V4NC9EH0RN640987,2024,Volvo VNL
ROYCE LLC,007,4V4NC9EH1KN213095,2019,Volvo VNL
MSM WESTERN,007,4V4NC9EH1LN251086,2020,Volvo VNL
RAPTOR AUTO TRANSPORT,007,4V4NC9EH2HN982343,2017,Volvo VNL
MARTIAN EXPRESS Inc.,007,4V4NC9EH6LN226586,2020,Volvo VNL
ECOPITT LLC,007,4V4NC9EH7FN920546,2015,Volvo VNL
ECOPITT LLC,007,4V4NC9EH7FN920546,2015,Volvo VNL
SUCCESSOR INC,007,4V4NC9EH9HN967581,2017,Volvo VNL
ON TIME,007,4V4NC9EH9HN967581,2017,Volvo VNL
YOU NEED IT WE GET IT TRANSIT LLC,007,4V4NC9EH9JN889941,2018,Volvo VNL
GOLDMAN EXPRESS,007,4V4NC9EJ4GN961138,2016,Volvo VNL
HALOL TRANSPORT,007,4V4NC9EJ8FN189712,2015,Volvo VNL
ANSOR EXPRESS,007,4V4NC9EJ8FN189712,2015,Volvo VNL
ROYCE LLC,007A,1FUJGLDR3HLHF0066,2017,Freightliner Cascadia
RCI TRUCKING DELIVERY LLC,008,3AKJHHDR5NSND1391,2022,Freightliner Cascadia
WILLIE KIMBROUGH,008,3AKJHHDV4LSKY5013,2020,Freightliner Cascadia
DADAKHON TRANS CORP,008,4V4NC9EG4LN215609,2020,Volvo VNL
ZM PLUS LLC,008,4V4NC9EH4JN887112,2018,Volvo VNL
GG CARGO,008,4V4NC9EH8KN219783,2019,Volvo VNL
NORTHEAST AND BEYOND,009,1FUJHHDR9KLKK4799,2019,Freightliner Cascadia
JAYKHUN CARGO LLC,009,3AKJHHDR2LSLK2563,2020,Freightliner Cascadia
Progressive Carriers LLC.,009,3AKJHHDR5RSUY6009,2024,Freightliner Cascadia
IATE INC,009,4V4NC9EG1DN132043,2013,Volvo VNL
ARAVAN CARGO,009,4V4NC9EG2EN159995,2014,Volvo VNL
DADAKHON TRANS CORP,009,4V4NC9EG2EN159995,2014,Volvo VNL
TURON TRANS,009,4V4NC9TJ3LN557387,2020,Volvo VNL
KAMPF LOGISTICS LLC,0090,3ELA6RX29NG000090,2022,Atro ATRO
A&Z XPRESS LLC,01,1FUJGLBG3GLHG5201,2016,Freightliner Cascadia
C L SCOTT,01,1FUJHHDR0LLLJ7132,2020,Freightliner Cascadia
US ROYAL EXPRESS LLC,01,1FUJHHDR1NLMW8452,2022,Freightliner Cascadia
USHA EXPRESS LLC,01,1RNF53A27PR065279,2023,Reitnouer Inc Trailers Reitnouer Inc Trailers
US ROADMASTER LLC,01,1TTE532AXK3134261,2019,Transcraft Aluminium Flatbed
REIS 571 LLC,01,1XKYD49XXKJ369920,2019,Kenworth T680
QUICK PLUS TRUCKING,01,1XKYDP9X5HJ142399,2017,Kenworth T680
JOHN EXPRESS INC,01,3AKJGLD54FSFY9990,2015,Freightliner Cascadia
UZ HIGHWAY LLC,01,3AKJHHDR1MSML2523,2021,Freightliner Cascadia
SSZ TRANSPORTATION LLC,01,3AKJHHDR3NSNC4083,2022,"Freightliner New Cascadia 126 Sleepercab"""
ARAVAN CARGO,01,3AKJHHDR5LSLK0404,2020,Freightliner Cascadia
STW LTO,01,3AKJHHDR8KSKF5901,2019,Freightliner Cascadia
GERREN'S TRUCKING,01,3ALACWFC0JDJH5132,2018,Freightliner M2
CARGO CHAIN LOGISTICS,01,3ALACWFC1JDJY2837,2018,Freightliner M2
ELEGANCE TRANSPORT LLC,01,3C63R3GL7RG121127,2024,RAM 3500
TSS TRUCK SERVICE,01,3C6URVJG5JE152288,2018,RAM Promaster 3500
